NP_code,Model,bins,fpr,tpr
NP55,Shuffled Baseline,0.7,0.7792527040314652,0.7453860640301317
NP55,Shuffled Baseline,0.8,0.8458551562217808,0.8207021791767554
NP55,FC-Based Model,0.8,0.8586411949243808,0.8755806654111739
NP55,FC-Based Model,0.9,0.9503792667509482,0.962788906009245
NP55,Shuffled Baseline,0.9,0.9500866226529944,0.9424984306340239
NP55,IEA Cycle-Based Model,0.9,0.9898019384745048,0.9746892655367232
NP45,Shuffled Baseline,-0.1,0.0,0.0
NP45,IEA Cycle-Based Model,-0.1,0.0,0.0
NP45,FC-Based Model,-0.1,0.0,0.0
NP45,FC-Based Model,0.0,0.05967741935483871,0.16923076923076924
NP45,Shuffled Baseline,0.0,0.05,0.09230769230769231
NP45,IEA Cycle-Based Model,0.1,0.16129032258064516,0.6923076923076923
NP45,Shuffled Baseline,0.1,0.16129032258064516,0.15384615384615385
NP45,FC-Based Model,0.1,0.1431451612903226,0.3269230769230769
NP45,FC-Based Model,0.2,0.25,0.6153846153846154
NP45,Shuffled Baseline,0.2,0.21370967741935482,0.19230769230769232
NP45,IEA Cycle-Based Model,0.2,0.2467741935483871,0.8153846153846154
NP45,Shuffled Baseline,0.3,0.35685483870967744,0.3269230769230769
NP45,IEA Cycle-Based Model,0.3,0.35215053763440857,1.0
NP45,FC-Based Model,0.3,0.3326612903225806,0.7692307692307693
NP45,IEA Cycle-Based Model,0.4,0.4596774193548387,1.0
NP45,Shuffled Baseline,0.4,0.4798387096774194,0.38461538461538464
NP45,FC-Based Model,0.4,0.4381720430107527,0.923076923076923
NP45,IEA Cycle-Based Model,0.5,0.5725806451612904,1.0
NP45,FC-Based Model,0.5,0.5516129032258064,0.9230769230769231
NP45,Shuffled Baseline,0.5,0.5524193548387096,0.38461538461538464
NP45,Shuffled Baseline,0.6,0.657258064516129,0.38461538461538464
NP45,FC-Based Model,0.6,0.6532258064516129,0.9230769230769231
NP45,IEA Cycle-Based Model,0.7,0.7540322580645161,1.0
NP45,Shuffled Baseline,0.7,0.7553763440860215,0.576923076923077
NP45,FC-Based Model,0.7,0.7523041474654377,0.9230769230769231
NP45,FC-Based Model,0.8,0.8870967741935484,1.0
